soc_code_2019,title,task_comp_nat,task_comp_ut,freq_sum_eco,importance,relevance,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category,a_med_nat,h_med_nat,a_med_ut,h_med_ut,ai_task_comp_nat,ai_task_comp_ut,freq_sum_ai,code_changed,title_changed,code_or_title_changed,code_and_title_changed,pct_automated_nat,pct_automated_ut,people_automated_nat,people_automated_ut,eco_value_nat,eco_value_ut,ut_share_of_nat,ut_concentration_index
11-1011.00,Chief Executives,3761657.2440192304,70669.79386923077,17.756229615384616,3.950967741935484,72.6974193548387,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,1229955.3047015383,46213.269215384615,15.507808461538461,False,False,False,False,32.697165768015694,65.39324184374848,69268.94567954126,1301.3471975670245,14298495767.170906,213394913.45704067,0.037573128908614084,2.967681551954241
11-1011.03,Chief Sustainability Officers,1618392.793826923,30404.547176923075,7.639333461538461,3.757222222222222,96.50277777777778,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,98350.49101153846,3695.580769230769,3.695580769230769,False,False,False,False,6.077047017675762,12.154697610611677,12874.224106946102,241.8664713034953,2657497340.155814,39661263.96434716,0.037575620937135984,2.967878382702337
11-1021.00,General and Operations Managers,69870293.94412307,894913.3179076923,19.492775384615385,3.6958823529411764,69.39117647058823,3584420.0,45910.0,11,Management Occupations,102950.0,49.5,91230.0,43.86,66962070.641253844,857664.1864346154,18.68142423076923,False,False,False,False,95.83768274226095,95.83768274226097,3435225.06775015,43999.080146972,353656420724.8779,4014036081.8082557,0.012808208859452856,1.0116454564703743
11-2011.00,Advertising and Promotions Managers,372525.7100769231,4096.017286153846,17.655246923076923,3.691904761904762,72.79380952380953,21100.0,232.0,11,Management Occupations,126960.0,61.04,108370.0,52.10000000000001,426436.8736289593,4688.784582081448,20.210278371040722,False,False,False,False,114.4717967360975,114.4717967360975,24153.549111316574,265.5745684277462,3066534595.1727524,28780315.980514858,0.010995260663507108,0.868451288935303
11-2021.00,Marketing Managers,3934261.3544769227,67039.20849230769,10.219391538461538,3.4295,73.021,384980.0,6560.0,11,Management Occupations,161030.0,77.42,135190.0,65.0,3383506.893507692,57654.43716923076,8.788786153846154,False,False,False,False,86.00107081491906,86.00107081491905,331086.9224232754,5641.670245458691,53314927117.82004,762697400.4835604,0.017039846225777963,1.3458777259507089
11-2022.00,Sales Managers,6808787.663576922,97669.57838461538,11.278242307692308,3.584705882352941,82.30588235294118,603710.0,8660.0,11,Management Occupations,138060.0,66.38,130430.0,62.71,5880069.456292307,84347.45406153846,9.739890769230769,False,False,False,False,86.36000631576866,86.36000631576866,521363.994128927,7478.776546945566,71979513029.43967,975456825.0181102,0.01434463566944394,1.1329988180982662
11-3012.00,Administrative Services Managers,1594059.623069231,11352.98621923077,6.272368076923077,3.655,74.9975,254140.0,1810.0,11,Management Occupations,108390.0,52.11,105800.0,50.86,2405606.3130845465,23582.167334615384,13.710562403846154,True,False,True,False,150.91068604151388,207.7177482578959,383524.4175059034,2731.4834173514014,41570211613.46487,288990945.55577826,0.009803003594706053,0.7742818808757909
11-3013.00,Facilities Managers,1464904.6937076922,16612.428307692306,10.382767692307691,3.921818181818182,82.02363636363636,141090.0,1600.0,11,Management Occupations,104690.0,50.33,94310.0,45.34,2405606.3130845465,23582.167334615384,13.710562403846154,True,True,True,True,164.21589222954339,141.9549682793561,231692.20234666276,2627.454275672694,24255856663.672123,247795212.73869178,0.009803003594706053,0.7742818808757909
11-3021.00,Computer and Information Systems Managers,8508774.72885,106562.20498846154,13.172089615384616,3.84,89.90588235294118,645970.0,8090.0,11,Management Occupations,171200.0,82.31,162400.0,78.08,7676525.86305,96139.28546538462,11.883718846153846,False,False,False,False,90.21893407310266,90.21893407310264,582787.2484320212,7298.711766514005,99773176931.56204,1185310790.8818743,0.01252380141492639,0.9891817769505635
11-3031.00,Financial Managers,15301560.974023078,162058.7496576923,18.691897307692308,3.904705882352941,57.60529411764706,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,2853213.848885,90646.25417846153,18.636154230769232,False,False,False,False,18.64655412430667,55.93419322926321,152644.4213723993,1616.6562425773884,24682602935.916965,222710563.97746104,0.03176987740119267,2.5093166794994275
11-3031.01,Treasurers and Controllers,9755610.406215385,103321.61713846153,11.917141538461538,4.113181818181818,79.08318181818181,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,1154528.1552992307,36687.18458307692,9.639302307692308,False,False,False,False,11.834504528426748,35.50775297478392,96879.62097060705,1026.0515426145992,15665434710.94716,141348860.5105872,0.03177677773788751,2.509861696710034
