soc_code_2019,title,task_comp_nat,task_comp_ut,freq_sum_eco,importance,relevance,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category,a_med_nat,h_med_nat,a_med_ut,h_med_ut,ai_task_comp_nat,ai_task_comp_ut,freq_sum_ai,code_changed,title_changed,code_or_title_changed,code_and_title_changed,pct_automated_nat,pct_automated_ut,people_automated_nat,people_automated_ut,eco_value_nat,eco_value_ut,ut_share_of_nat,ut_concentration_index
11-1011.00,Chief Executives,3761657.2440192304,70669.79386923077,17.756229615384616,3.950967741935484,72.6974193548387,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,930589.9948738462,34965.17783846154,15.507808461538461,False,False,False,False,24.738830108814902,49.47683575129994,52409.21158552437,984.6054383308332,10818309455.48394,161455599.77749002,0.037573128908614084,2.958895101711236
11-1011.03,Chief Sustainability Officers,1618392.793826923,30404.547176923075,7.639333461538461,3.757222222222222,96.50277777777778,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,64697.48247115384,2431.0480769230767,3.695580769230769,False,False,False,False,3.9976378242618913,7.995672695853309,8468.995730698816,159.10598540562327,1748170098.7308497,26090199.486814104,0.037575620937135984,2.9590913497001834
11-1021.00,General and Operations Managers,69870293.94412307,894913.3179076923,19.492775384615385,3.6958823529411764,69.39117647058823,3584420.0,45910.0,11,Management Occupations,102950.0,49.5,91230.0,43.86,66962070.641253844,857664.1864346154,18.68142423076923,False,False,False,False,95.83768274226095,95.83768274226097,3435225.06775015,43999.080146972,353656420724.8779,4014036081.8082557,0.012808208859452856,1.0086502656753964
11-2011.00,Advertising and Promotions Managers,372525.7100769231,4096.017286153846,17.655246923076923,3.691904761904762,72.79380952380953,21100.0,232.0,11,Management Occupations,126960.0,61.04,108370.0,52.10000000000001,401997.2386674208,4420.064425158371,20.210278371040722,False,False,False,False,107.91127371703072,107.91127371703072,22769.278754293482,250.35415502351125,2890787630.6451006,27130879.779897913,0.010995260663507108,0.8658800548237188
11-2021.00,Marketing Managers,3934261.3544769227,67039.20849230769,10.219391538461538,3.4295,73.021,384980.0,6560.0,11,Management Occupations,161030.0,77.42,135190.0,65.0,3153931.0297615384,53742.49975384615,8.788786153846154,False,False,False,False,80.16577307891806,80.16577307891805,308622.1931992188,5258.874713977025,49697431770.8702,710947272.582554,0.01703984622577796,1.3418929696804653
11-2022.00,Sales Managers,6808787.663576922,97669.57838461538,11.278242307692308,3.584705882352941,82.30588235294118,603710.0,8660.0,11,Management Occupations,138060.0,66.38,130430.0,62.71,4630194.7115230765,66418.4562153846,9.739890769230769,False,False,False,False,68.00321790459029,68.00321790459029,410542.226811802,5889.0786705375185,56679459833.63738,768112530.9982085,0.014344635669443937,1.1296443349550027
11-3012.00,Administrative Services Managers,1594059.623069231,11352.98621923077,6.272368076923077,3.655,74.9975,254140.0,1810.0,11,Management Occupations,108390.0,52.11,105800.0,50.86,2006252.4955560733,19667.300425824174,13.710562403846154,True,False,True,False,125.85805866490733,173.23460141711286,319855.6702909955,2278.0308618348226,34669156102.841,241015665.18212423,0.009803003594706053,0.7719894552562375
11-3013.00,Facilities Managers,1464904.6937076922,16612.428307692306,10.382767692307691,3.921818181818182,82.02363636363636,141090.0,1600.0,11,Management Occupations,104690.0,50.33,94310.0,45.34,2006252.4955560733,19667.300425824174,13.710562403846154,True,True,True,True,136.954472476856,118.3890763081116,193229.06521759613,2191.271559629696,20229150837.63014,206658820.78867665,0.009803003594706053,0.7719894552562375
11-3021.00,Computer and Information Systems Managers,8508774.72885,106562.20498846154,13.172089615384616,3.84,89.90588235294118,645970.0,8090.0,11,Management Occupations,171200.0,82.31,162400.0,78.08,7676525.86305,96139.28546538462,11.883718846153846,False,False,False,False,90.21893407310266,90.21893407310264,582787.2484320212,7298.711766514005,99773176931.56204,1185310790.8818743,0.01252380141492639,0.986253094640044
11-3031.00,Financial Managers,15301560.974023078,162058.7496576923,18.691897307692308,3.904705882352941,57.60529411764706,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,2705716.05106,85960.26722461538,18.636154230769232,False,False,False,False,17.68261457542403,53.04265731173694,144753.41943733618,1533.0826836892634,23406627923.01726,211197470.50503293,0.03176987740119268,2.501887315613048
11-3031.01,Treasurers and Controllers,9755610.406215385,103321.61713846153,11.917141538461538,4.113181818181818,79.08318181818181,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,1006439.3900365385,31981.400803846154,9.639302307692308,False,False,False,False,10.316518886356175,30.953252271485265,84453.0869074889,894.4421874470804,13656064152.940956,123218355.7427098,0.03177677773788751,2.502430719184684
11-3031.03,Investment Fund Managers,30074163.70826154,318515.3054538461,36.737636153846154,4.047,78.4505,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,7809171.440089743,248120.67767307692,30.05474576923077,True,False,True,False,25.966379367498487,77.89913810249548,212565.9747782161,2251.285091162119,34371918121.63754,310137034.1584935,0.03177298380200826,2.502131945603261
11-3051.00,Industrial Production Managers,3881767.2143153846,37926.64442692308,16.561853461538462,3.6976923076923076,84.13461538461539,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.10000000000001,164851.41662846153,9673.724762307693,23.254660384615384,False,False,False,False,4.246813565236829,25.50640824802466,9953.681634202081,97.25203064392339,1208775097.6575007,10539202.560881978,0.05868147790388795,4.621183877267749
11-3051.01,Quality Control Systems Managers,6802797.196561539,66466.4458576923,29.024648846153845,3.8985185185185185,85.9774074074074,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.1,206686.36330307694,12118.886108846153,17.799539615384617,False,False,False,False,3.038255548872546,18.233088820174377,7121.063355447473,69.5760520691813,864781933.8855412,7539956.762737177,0.05863418328704871,4.617459412093627
11-3051.02,Geothermal Production Managers,5157451.309338462,50390.66259230769,22.004656153846156,3.9629411764705886,79.54529411764706,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.1,22939.844118461537,1342.8563342307693,11.571617307692307,False,False,False,False,0.44479031875540853,2.66489120235494,1042.4995490989265,10.185698299498855,126601145.24257363,1103824.124716691,0.05853816300129367,4.609897785967772
