soc_code_2019,title,task_comp_nat,task_comp_ut,freq_sum_eco,importance,relevance,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category,a_med_nat,h_med_nat,a_med_ut,h_med_ut,ai_task_comp_nat,ai_task_comp_ut,freq_sum_ai,code_changed,title_changed,code_or_title_changed,code_and_title_changed,pct_automated_nat,pct_automated_ut,people_automated_nat,people_automated_ut,eco_value_nat,eco_value_ut,ut_share_of_nat,ut_concentration_index
11-1011.00,Chief Executives,3761657.2440192304,70669.79386923077,17.756229615384616,3.950967741935484,72.6974193548387,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,1133657.663753846,42595.06553846154,15.507808461538461,False,False,False,False,30.137186623164077,60.27336886998788,63845.629861173096,1199.4600276019303,13179014915.94335,196687455.3261645,0.037573128908614084,2.968448689980727
11-1011.03,Chief Sustainability Officers,1618392.793826923,30404.547176923075,7.639333461538461,3.757222222222222,96.50277777777778,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,85421.98773346153,3209.7842307692304,3.695580769230769,False,False,False,False,5.278198720316156,10.556921673891736,11181.863988989775,210.07230906858302,2308160364.6072693,34447657.24106625,0.037575620937135984,2.968645571609064
11-1021.00,General and Operations Managers,69870293.94412307,894913.3179076923,19.492775384615385,3.6958823529411764,69.39117647058823,3584420.0,45910.0,11,Management Occupations,102950.0,49.5,91230.0,43.86,66962070.641253844,857664.1864346154,18.68142423076923,False,False,False,False,95.83768274226095,95.83768274226097,3435225.06775015,43999.080146972,353656420724.8779,4014036081.8082557,0.012808208859452856,1.0119069642114826
11-2011.00,Advertising and Promotions Managers,372525.7100769231,4096.017286153846,17.655246923076923,3.691904761904762,72.79380952380953,21100.0,232.0,11,Management Occupations,126960.0,61.04,108370.0,52.10000000000001,426436.8736289593,4688.784582081448,20.210278371040722,False,False,False,False,114.4717967360975,114.4717967360975,24153.549111316574,265.5745684277462,3066534595.1727524,28780315.980514858,0.010995260663507108,0.8686757813534516
11-2021.00,Marketing Managers,3934261.3544769227,67039.20849230769,10.219391538461538,3.4295,73.021,384980.0,6560.0,11,Management Occupations,161030.0,77.42,135190.0,65.0,3383506.893507692,57654.43716923076,8.788786153846154,False,False,False,False,86.00107081491906,86.00107081491905,331086.9224232754,5641.670245458691,53314927117.82004,762697400.4835604,0.017039846225777963,1.3462256318713754
11-2022.00,Sales Managers,6808787.663576922,97669.57838461538,11.278242307692308,3.584705882352941,82.30588235294118,603710.0,8660.0,11,Management Occupations,138060.0,66.38,130430.0,62.71,5880069.456292307,84347.45406153846,9.739890769230769,False,False,False,False,86.36000631576866,86.36000631576866,521363.994128927,7478.776546945566,71979513029.43967,975456825.0181102,0.01434463566944394,1.1332916953703422
11-3012.00,Administrative Services Managers,1594059.623069231,11352.98621923077,6.272368076923077,3.655,74.9975,254140.0,1810.0,11,Management Occupations,108390.0,52.11,105800.0,50.86,2405606.3130845465,23582.167334615384,13.710562403846154,True,False,True,False,150.91068604151388,207.7177482578959,383524.4175059034,2731.4834173514014,41570211613.46487,288990945.55577826,0.009803003594706053,0.7744820307448521
11-3013.00,Facilities Managers,1464904.6937076922,16612.428307692306,10.382767692307691,3.921818181818182,82.02363636363636,141090.0,1600.0,11,Management Occupations,104690.0,50.33,94310.0,45.34,2405606.3130845465,23582.167334615384,13.710562403846154,True,True,True,True,164.21589222954339,141.9549682793561,231692.20234666276,2627.454275672694,24255856663.672123,247795212.73869178,0.009803003594706053,0.7744820307448521
11-3021.00,Computer and Information Systems Managers,8508774.72885,106562.20498846154,13.172089615384616,3.84,89.90588235294118,645970.0,8090.0,11,Management Occupations,171200.0,82.31,162400.0,78.08,7676525.86305,96139.28546538462,11.883718846153846,False,False,False,False,90.21893407310266,90.21893407310264,582787.2484320212,7298.711766514005,99773176931.56204,1185310790.8818743,0.01252380141492639,0.9894374778884577
11-3031.00,Financial Managers,15301560.974023078,162058.7496576923,18.691897307692308,3.904705882352941,57.60529411764706,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,2733025.61859,86827.88883692308,18.636154230769232,False,False,False,False,17.861090271964812,53.57803205339101,146214.45718435835,1548.5565265793493,23642877726.710747,213329147.10157117,0.03176987740119268,2.5099653313886687
11-3031.01,Treasurers and Controllers,9755610.406215385,103321.61713846153,11.917141538461538,4.113181818181818,79.08318181818181,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,1154528.1552992307,36687.18458307692,9.639302307692308,False,False,False,False,11.834504528426748,35.50775297478392,96879.62097060705,1026.0515426145992,15665434710.94716,141348860.5105872,0.03177677773788751,2.510510489484818
11-3031.03,Investment Fund Managers,30074163.70826154,318515.3054538461,36.737636153846154,4.047,78.4505,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,8092541.895702563,257124.20256923078,30.05474576923077,True,False,True,False,26.908618221957397,80.72585466587222,220279.33048858764,2332.9771998437063,35619167740.00462,321390939.050469,0.03177298380200826,2.5102107512325684
11-3051.00,Industrial Production Managers,3881767.2143153846,37926.64442692308,16.561853461538462,3.6976923076923076,84.13461538461539,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.10000000000001,175551.14425653845,10301.600592692308,23.254660384615384,False,False,False,False,4.522454195839765,27.161908859459988,10599.72814420924,103.56420108473061,1287230985.83277,11223252.471552256,0.05868147790388795,4.63610461171876
11-3051.01,Quality Control Systems Managers,6802797.196561539,66466.4458576923,29.024648846153845,3.8985185185185185,85.9774074074074,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.1,250860.29453538463,14708.98848923077,17.799539615384617,False,False,False,False,3.687605073133468,22.12994586881234,8643.008770410222,84.44615617475641,1049606985.0786175,9151429.944658352,0.058634183287048725,4.632368121107583
11-3051.02,Geothermal Production Managers,5157451.309338462,50390.66259230769,22.004656153846156,3.9629411764705886,79.54529411764706,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.1,31511.177318461538,1844.6064342307693,11.571617307692307,False,False,False,False,0.61098351547023,3.66061158821189,1432.0231635591251,13.991522504268266,173904892.98262015,1516261.293787552,0.058538163001293664,4.624782080239003
11-3051.03,Biofuels Production Managers,6401449.12143077,62545.091253846156,27.312266923076923,4.057142857142857,90.90785714285714,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.1,6883.105001538462,406.9521815384616,8.276351153846155,False,False,False,False,0.10752416946492951,0.6506540695364905,252.0151483919018,2.4623034807468858,30604719.620712552,266839.82820854,0.05912334352701326,4.671014012884259
11-3051.04,Biomass Power Plant Managers,6470586.0831,63220.59105,27.607245,3.856842105263158,82.88631578947368,234380.0,2290.0,11,Management Occupations,121440.0,58.39000000000001,108370.0,52.1,89593.9839023077,5256.208035000001,12.794472692307693,False,False,False,False,1.384634757217912,8.314076075060676,3245.3069439673422,31.708135940290184,394110075.275394,3436210.691849247,0.05866697523721361,4.634958834852655
11-3051.06,Hydroelectric Production Managers,4036669.0464615384,39440.10630769231,17.222753846153847,3.967777777777778,85.05777777777777,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.1,11655.84051,681.6280999999999,6.2228903846153845,False,False,False,False,0.288748975351776,1.7282613152263655,676.7698484294925,6.612351535555671,82186930.39327757,716580.5359081681,0.05847953216374268,4.620149976446316
11-3061.00,Purchasing Managers,1297151.7996461538,7983.4551923076915,15.966910384615383,4.051666666666667,93.56722222222223,81240.0,500.0,11,Management Occupations,139510.0,67.07,123360.0,59.31,972266.6029384615,5983.9155769230765,12.990409615384614,False,False,False,False,74.95395706220992,74.95395706220992,60892.59471733934,374.76978531104965,8495125889.016012,46231600.71597108,0.006154603643525357,0.4862417811252586
11-3071.00,"Transportation, Storage, and Distribution Managers",5219563.607307692,63712.983,24.50499346153846,3.914615384615385,92.16576923076923,213000.0,2600.0,11,Management Occupations,102010.0,49.05,97980.0,47.11,1647867.8525274724,40229.637714285716,19.550869505494504,False,False,False,False,31.570989004145133,63.141978008290266,67246.20657882914,820.8457141077736,6859785533.10636,80426463.06827965,0.024413145539906107,1.928749933829139
11-3071.04,Supply Chain Managers,2135131.006153846,26062.631999999998,10.02408923076923,3.627666666666667,86.03133333333334,213000.0,2600.0,11,Management Occupations,102010.0,49.05,97980.0,47.11,759010.1394230769,18529.824999999997,8.409562692307691,True,False,True,False,35.548644895112666,71.09728979022533,75718.61362658998,924.2647672729294,7724055776.048445,90559461.89740162,0.0244131455399061,1.9287499338291383
11-3111.00,Compensation and Benefits Managers,144427.84978846152,1223.3549807692307,7.196205769230768,3.875,74.67545454545454,20070.0,170.0,11,Management Occupations,140360.0,67.48,132920.0,63.91,131086.24009615384,1110.3468269230768,6.588759615384615,False,False,False,False,90.76243971515973,90.76243971515973,18216.021650832557,154.29614751577154,2556800798.9108577,20509043.927796353,0.008470353761833582,0.6691966109381885
11-3121.00,Human Resources Managers,3016879.0499076922,28976.149003846152,13.998139615384614,3.9057692307692307,94.71076923076923,215520.0,2070.0,11,Management Occupations,140030.0,67.32,131070.0,63.02,2298186.5782153844,22073.339907692305,11.251087692307692,False,False,False,False,76.17761733887549,76.17761733887549,164178.00088874446,1576.8766789147226,22989845464.450886,206681226.3053527,0.00960467706013363,0.7588133292328799
11-3131.00,Training and Development Managers,225863.96110769227,2511.8323076923075,5.023664615384615,3.9616666666666664,92.47166666666668,44960.0,500.0,11,Management Occupations,127090.0,61.1,109980.0,52.88,185424.15304615384,2062.101346153846,4.192748461538461,False,False,False,False,82.09550214951881,82.0955021495188,36910.13776642366,410.47751074759407,4690909408.734782,45144316.6320204,0.011120996441281138,0.8786094817307831
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",111296.43807692306,1224.0725,18.831884615384613,3.8590000000000004,84.1375,5910.0,65.0,11,Management Occupations,87980.0,42.3,87980.0,42.3,57146.516452447555,628.5149863636364,12.061807552447553,False,False,False,False,51.346222251021615,51.3462222510216,3034.5617350353773,33.37504446316405,266980741.4484125,2936336.4118691734,0.010998307952622672,0.8689165311032286
