soc_code_2019,title,task_comp_nat,task_comp_ut,freq_sum_eco,importance,relevance,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category,a_med_nat,h_med_nat,a_med_ut,h_med_ut,ai_task_comp_nat,ai_task_comp_ut,freq_sum_ai,code_changed,title_changed,code_or_title_changed,code_and_title_changed,pct_automated_nat,pct_automated_ut,people_automated_nat,people_automated_ut,eco_value_nat,eco_value_ut,ut_share_of_nat,ut_concentration_index
11-1011.00,Chief Executives,3761657.2440192304,70669.79386923077,17.756229615384616,3.950967741935484,72.6974193548387,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,732478.5450756922,27521.510796923078,15.507808461538461,False,False,False,False,19.47222985933345,38.94381077133124,41251.91895699791,774.9947484014713,8515221111.103509,127083638.84287326,0.037573128908614084,2.97931550677801
11-1011.03,Chief Sustainability Officers,1618392.793826923,30404.547176923075,7.639333461538461,3.757222222222222,96.50277777777778,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,52231.625726538456,1962.635769230769,3.695580769230769,False,False,False,False,3.227376315920763,6.455073176424089,6837.196725278136,128.44957737364638,1411334148.0319128,21063161.697730534,0.037575620937135984,2.9795131091452944
11-1021.00,General and Operations Managers,69870293.94412307,894913.3179076923,19.492775384615385,3.6958823529411764,69.39117647058823,3584420.0,45910.0,11,Management Occupations,102950.0,49.5,91230.0,43.86,44460175.12935384,569455.2089846154,18.68142423076923,False,False,False,False,63.63244323103849,63.63244323103851,2280854.02166199,29213.654687369773,234813921530.10187,2665161717.1287446,0.012808208859452856,1.0156113258981425
11-2011.00,Advertising and Promotions Managers,372525.7100769231,4096.017286153846,17.655246923076923,3.691904761904762,72.79380952380953,21100.0,232.0,11,Management Occupations,126960.0,61.04,108370.0,52.10000000000001,304777.7571339366,3351.110884126697,20.210278371040722,False,False,False,False,81.81388529425335,81.81388529425337,17262.729797087457,189.80821388266776,2191676175.0382237,20569516.138464704,0.01099526066350711,0.8718558061940581
11-2021.00,Marketing Managers,3934261.3544769227,67039.20849230769,10.219391538461538,3.4295,73.021,384980.0,6560.0,11,Management Occupations,161030.0,77.42,135190.0,65.0,2429732.4770353846,41402.26777846154,8.788786153846154,False,False,False,False,61.75828848458463,61.758288484584625,237757.05900795394,4051.3437245887517,38286019212.05082,547701158.1271534,0.017039846225777963,1.3511538583078737
11-2022.00,Sales Managers,6808787.663576922,97669.57838461538,11.278242307692308,3.584705882352941,82.30588235294118,603710.0,8660.0,11,Management Occupations,138060.0,66.38,130430.0,62.71,3329200.172354615,47756.163543076924,9.739890769230769,False,False,False,False,48.89563806144096,48.89563806144098,295187.8565407252,4234.362256120788,40753635474.01252,552287869.0658343,0.014344635669443941,1.1374404190026688
11-3012.00,Administrative Services Managers,1594059.623069231,11352.98621923077,6.272368076923077,3.655,74.9975,254140.0,1810.0,11,Management Occupations,108390.0,52.11,105800.0,50.86,1667464.534664672,16346.160827362637,13.710562403846154,True,False,True,False,104.60490376477298,143.98115625009703,265842.90242779406,1893.3487581423913,28814712194.148598,200316298.611465,0.009803003594706053,0.777317233647061
11-3013.00,Facilities Managers,1464904.6937076922,16612.428307692306,10.382767692307691,3.921818181818182,82.02363636363636,141090.0,1600.0,11,Management Occupations,104690.0,50.33,94310.0,45.34,1667464.534664672,16346.160827362637,13.710562403846154,True,True,True,True,113.827509859655,98.39717905535595,160599.23366098723,1821.24015775448,16813133771.968754,171761159.277825,0.009803003594706053,0.777317233647061
11-3021.00,Computer and Information Systems Managers,8508774.72885,106562.20498846154,13.172089615384616,3.84,89.90588235294118,645970.0,8090.0,11,Management Occupations,171200.0,82.31,162400.0,78.08,6068363.87081,75998.98403153846,11.883718846153846,False,False,False,False,71.31889213419296,71.31889213419295,460698.64751924627,5769.6983736562115,78871608455.29497,936999015.8817687,0.01252380141492639,0.9930595838864054
11-3031.00,Financial Managers,15301560.974023078,162058.7496576923,18.691897307692308,3.904705882352941,57.60529411764706,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,1954174.227347,62083.87562338462,18.636154230769232,False,False,False,False,12.77107760877817,38.309486994389964,104546.59552097986,1107.2524286810672,16905184495.742443,152535094.57510382,0.03176987740119268,2.5191537446887846
11-3031.01,Treasurers and Controllers,9755610.406215385,103321.61713846153,11.917141538461538,4.113181818181818,79.08318181818181,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,830838.0296092308,26401.355403076923,9.639302307692308,False,False,False,False,8.516515061732033,25.552595995179217,69717.89559835076,738.3818558521672,11273383718.253319,101719484.46219455,0.0317767777378875,2.5197008984849694
11-3031.03,Investment Fund Managers,30074163.70826154,318515.3054538461,36.737636153846154,4.047,78.4505,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,7048700.7894035885,223958.25600692307,30.05474576923077,True,False,True,False,23.43772833645669,70.31318500937009,191865.93170790176,2032.051046770795,31024721157.167717,279935352.2031447,0.03177298380200826,2.519400062959021
11-3051.00,Industrial Production Managers,3881767.2143153846,37926.64442692308,16.561853461538462,3.6976923076923076,84.13461538461539,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.10000000000001,122684.73838776923,7199.321764846154,23.254660384615384,False,False,False,False,3.160538270696038,18.982227069198757,7407.669598857374,72.37632639893927,899587396.0852395,7843422.491853049,0.05868147790388795,4.653076338277021
